id;vlr_venda_intermediario_ii
245390;28.85
245399;14.03
245410;28.85
245422;23.42
245425;24.35
245437;43.86
245440;11.42
245443;33.94
245487;46.52
245527;246.65
245531;129.2
245533;64.92
245547;26.2
245560;174.95
245578;285
245582;166.52
245588;109.9
245597;29.9
245603;144.92
245614;43.86
245626;111.04
245629;91.14
245642;95
245649;143.8
245663;19.9
245669;119
245679;29.31
245687;82.08
245709;22.26
245722;52.8
245723;9.25
245726;15.22
245727;39.38
245747;12.92
245799;13.06
245814;23.42
245826;52.07
245835;28.85
245857;24.66
245859;169.52
245861;39.14
245865;70
245866;78.17
245868;88.8
245898;36.47
245908;9.9
245913;52.17
245927;63.11
245928;49.52
245929;107.05
245930;85.48
245941;69.88
245946;36.42
245947;26.96
245951;31.07
245952;32.96
245953;61.28
245954;47.97
245984;31.15
245986;30.48
246003;198.07
246012;39.02
246014;123.06
246018;56.18
246044;99.13
246045;15
246050;41.76
246061;44.42
246066;80
246081;25.97
246082;36.54
246083;46.98
246093;49.59
246094;119.54
246116;88.1
246118;78.23
246143;135.81
246150;93.46
246169;28.01
246317;14.29
246327;14.29
246349;21.47
246350;21.47
246415;67.73
246416;9.9
246417;9.9
246418;20
246419;45.81
246420;23.99
246428;25
246430;102.95
246431;14.84
246432;14.84
246448;107.3
246449;52.57
246454;97.81
246458;12.6
246460;15
246461;18
246471;9.9
246476;7.79
246487;32.79
246504;128
246506;86.23
246509;11.94
246522;100.75
246542;121.39
246544;259.7
246551;65.12
246584;149.2
246594;65.12
246598;72
246642;114
246652;167.38
246654;133.49
246659;72.95
246685;12.1
246693;121.39
246700;6.51
246713;63.85
246733;149.2
246744;65.12
246747;128
246763;12.76
246771;9.92
246799;9.92
246817;62.84
246823;13.44
246838;9.92
246843;139.9
246850;62.84
246872;45.58
246874;32.79
246891;32.79
246894;10.35
246912;47.87
246928;167.38
246940;168.49
246951;121.39
246956;74.58
246964;133.49
246987;93.96
246989;149.2
246996;65.12
247000;72.95
247002;128
247004;93.02
247009;25.79
247016;25.79
247029;137.07
247037;13.5
247038;13.5
247077;9.92
247101;20.24
247116;45.58
247117;32.79
247128;12.4
247135;47.87
247185;12.01
247194;25.38
247207;40.52
247248;11.33
247270;9.72
247423;67
379163;58.4
381045;129.2
381258;27.41
381259;11.9
381260;11.9
381326;27.41
383057;19.16
383065;38.71
383069;38.71
383109;258.39
383111;70
383181;89.9
383215;8.22
383216;8.22
383217;8.22
383218;8.22
383219;8.22
383350;24.08
387865;22.26
387868;38.12
387872;93.93
387873;33.93
387879;108.6
387881;12.4
387882;12.4
387884;81.63
387886;81.63
387887;33.94
387894;15.57
387895;15.57
387896;15.57
387897;42.28
387898;40.99
387899;34.53
387900;26.43
387908;38.5
387910;143.48
387911;14.29
387912;46.98
387941;43.87
387945;16.43
388022;20.84
388027;33.63
388028;33.63
388029;33.63
388030;33.63
388301;7.46
388550;95
388557;23.82
388578;99.01
388579;99.01
388585;11.42
388586;99.01
388589;11.42
388603;224.46
388605;246.65
388606;246.65
388636;34.54
388659;88.09
388664;117.32
388669;80.18
388670;35.12
388671;48.73
388672;24.08
388675;119
388676;119
388678;71.78
388679;71.78
388680;71.78
388681;50.9
388687;13.7
388699;41.69
388703;50.09
388707;192.44
388734;117.32
388738;104.27
388741;23.44
388742;46.91
388745;35.17
388746;11.68
388748;23.42
388749;29.3
388750;54.16
388752;26.36
389421;19
389559;78.29
389651;69.9
389657;41.34
389658;6.5
389659;40.52
389663;319.91
389664;29.3
389665;26.36
389666;69.9
389668;214.96
389669;214.96
389670;214.96
389671;46
389672;59
389673;95
389674;28
389677;95.92
389678;377.15
389679;214.96
389680;38.68
389681;37.38
389682;149.94
389683;12.5
389684;6.5
389685;11.61
389686;11.61
389687;6.5
389688;11.61
389689;12.4
389690;23.49
389691;19.58
389692;78.17
389693;5
389694;12.07
389695;62.51
389696;117.32
389697;258.39
389698;30
389699;19.9
389700;19.58
389701;28.71
389702;24.8
389707;7.5
390031;75.04
390058;65.25
390099;44.63
390118;35.6
391491;56.12
391492;40.46
391515;87.76
391516;87.76
391518;87.76
391520;5.22
391521;7.5
391522;7.5
391523;7.5
391524;14
391525;14
391526;14
391527;7.5
391528;7.5
391529;7.5
391530;7.5
391531;9.79
391532;7.5
391533;7.5
391534;7.5
391535;7.5
391536;11.75
391537;11.75
391538;11.75
391539;11.75
391575;7.5
393150;24.14
393151;24.14
393152;24.14