id_produto;id_insumo
381739;381585
381739;381586
381739;381587
381739;381588
381739;381589
381739;381590
381739;381591
381739;381592
381739;381593
381739;381594
381739;381595
381739;381596
381739;381597
381739;381598
381739;381599
381739;381600
381739;381601
381739;381602
381739;381603
381739;381604
381739;381605
381739;381606
381739;381607
381739;381608
381742;381609
381742;381610
381742;381611
381742;381612
381742;381613
381742;381614
381742;381615
381742;381616
381742;381617
381740;381618
381740;381619
381740;381620
381740;381621
381740;381622
381740;381623
381740;381624
381740;381625
381741;381626